algorithm,key_seed,data_seed,n_train,epochs,lr,stage,paradigm,n_test,accuracy,n_evals,final_val_loss,min_val_loss,takeoff_epoch,legacy_meta,active,run,path
recptr_k10,2,0,1000,5,0.0002,実験3: 構造ラダー（dualptr / recptr）,pure,500,0.2,1,0.1588629186153412,0.1588629186153412,,False,False,run_20260823_113251,results/llm_finetune/qwen2.5_3b/recptr_k10/run_20260823_113251
secret_add,0,0,200,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,1.267e-05,1.267e-05,4,False,False,run_20260716_121139,results/llm_finetune/qwen2.5_3b/secret_add/run_20260716_121139
secret_add,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,6.010463494021678e-06,6.010463494021678e-06,1,False,False,run_20260717_011729,results/llm_finetune/qwen2.5_3b/secret_add/run_20260717_011729
simple_add,0,0,20,30,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,20,1.0,1,0.2964,0.2855,,False,False,run_20260716_120102,results/llm_finetune/qwen2.5_3b/simple_add/run_20260716_120102
simple_add,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,3.084875788772479e-05,3.084875788772479e-05,1,False,False,run_20260716_225546,results/llm_finetune/qwen2.5_3b/simple_add/run_20260716_225546
simple_add,42,42,200,3,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,,,0,,,,True,False,run_20260706_112544,results/llm_finetune/qwen2.5_3b/simple_add/run_20260706_112544
simple_add,42,42,200,3,2e-05,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,,,0,,,,True,False,run_20260705_190237,results/llm_finetune/qwen2.5_3b/simple_add/run_20260705_190237
simple_add,42,42,200,3,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,,,0,,,,True,False,run_20260705_132018,results/llm_finetune/qwen2.5_3b/simple_add/run_20260705_132018
simple_add,42,42,2000,3,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,,,0,,,,True,False,run_20260705_233644,results/llm_finetune/qwen2.5_3b/simple_add/run_20260705_233644
table_add3_k10,0,0,1000,5,0.0002,実験5b: 静的端点の検証,pure,500,0.996,1,0.010351257398724556,0.010193031281232834,3,False,True,run_20260729_023201,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260729_023201
table_add3_k10,1,0,1000,5,0.0002,実験5b: 静的端点の検証,pure,500,0.106,1,0.19240088760852814,0.1922638714313507,,False,True,run_20260905_231205,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260905_231205
table_add3_k10,2,0,1000,5,0.0002,実験5b: 静的端点の検証,pure,500,0.262,1,0.13741956651210785,0.13741956651210785,4,False,True,run_20260906_010906,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260906_010906
table_add3_k10,3,0,1000,5,0.0002,実験6: 鍵の交絡,pure,500,0.998,1,0.0005437823128886521,0.0005437823128886521,1,False,True,run_20260909_215428,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260909_215428
table_add3_k10,3,1,1000,5,0.0002,実験7: seed ばらつきの検証,pure,500,1.0,1,0.0006101355538703501,0.0006101355538703501,2,False,True,run_20260912_171242,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260912_171242
table_add3_k10,3,1,1000,5,0.0002,実験7: seed ばらつきの検証,pure,500,0.99,1,0.0024430854246020317,0.0024430854246020317,3,False,True,run_20260912_190607,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260912_190607
table_add3_k10,3,2,1000,5,0.0002,実験7: seed ばらつきの検証,pure,500,0.982,1,0.0037962989881634712,0.0037962989881634712,4,False,True,run_20260912_225525,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260912_225525
table_add3_k10,4,0,1000,5,0.0002,実験6: 鍵の交絡,pure,500,0.968,1,0.0077957939356565475,0.0077957939356565475,2,False,True,run_20260909_234850,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260909_234850
table_add3_k10,5,0,1000,5,0.0002,実験6: 鍵の交絡,pure,500,0.174,1,0.16500525176525116,0.16500525176525116,,False,True,run_20260910_014404,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260910_014404
table_add3_k10,6,0,1000,5,0.0002,実験6: 鍵の交絡,pure,500,0.102,1,0.19060318171977997,0.19021138548851013,,False,True,run_20260910_033625,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260910_033625
table_add3_k10,6,1,1000,5,0.0002,実験7: seed ばらつきの検証,pure,500,1.0,1,0.0003061410679947585,0.0003061410679947585,1,False,True,run_20260912_210005,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260912_210005
table_add3_k10,6,2,1000,5,0.0002,実験7: seed ばらつきの検証,pure,500,0.962,1,0.01688026264309883,0.01688026264309883,4,False,True,run_20260913_004808,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260913_004808
table_add3_k10,7,0,1000,5,0.0002,実験6: 鍵の交絡,pure,500,0.336,1,0.14362306892871857,0.14362306892871857,5,False,True,run_20260910_053027,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260910_053027
table_add3_k10,8,0,1000,5,0.0002,実験6: 鍵の交絡,pure,500,0.106,1,0.1880323439836502,0.1880323439836502,,False,True,run_20260910_072655,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260910_072655
table_add3_k10,9,0,1000,5,0.0002,実験6: 鍵の交絡,pure,500,0.116,1,0.1900927573442459,0.1900927573442459,,False,True,run_20260910_092238,results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260910_092238
table_add3_k26,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,0.12,1,0.19358955323696136,0.19296064972877502,,False,False,run_20260729_041333,results/llm_finetune/qwen2.5_3b/table_add3_k26/run_20260729_041333
table_add3_k26,0,0,5000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,0.14,1,0.19183535873889923,0.19183535873889923,,False,False,run_20260729_055650,results/llm_finetune/qwen2.5_3b/table_add3_k26/run_20260729_055650
table_add_k10,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,0.00017761476919986308,0.00017761476919986308,4,False,False,run_20260716_173814,results/llm_finetune/qwen2.5_3b/table_add_k10/run_20260716_173814
table_add_k13,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,0.0009070350206457078,0.0009070350206457078,4,False,False,run_20260717_132044,results/llm_finetune/qwen2.5_3b/table_add_k13/run_20260717_132044
table_add_k16,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,0.0013311102520674467,0.0013311102520674467,3,False,False,run_20260717_150129,results/llm_finetune/qwen2.5_3b/table_add_k16/run_20260717_150129
table_add_k20,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,0.24,1,0.19167976081371307,0.19108207523822784,,False,False,run_20260717_164228,results/llm_finetune/qwen2.5_3b/table_add_k20/run_20260717_164228
table_add_k26,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,0.08,1,0.1927528828382492,0.19207455217838287,,False,False,run_20260716_192129,results/llm_finetune/qwen2.5_3b/table_add_k26/run_20260716_192129
table_add_k26,0,0,5000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,5.379990398068912e-05,5.379990398068912e-05,2,False,False,run_20260717_182330,results/llm_finetune/qwen2.5_3b/table_add_k26/run_20260717_182330
table_add_k26,0,0,5000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,0.00015085277846083045,0.00015085277846083045,2,False,False,run_20260721_161433,results/llm_finetune/qwen2.5_3b/table_add_k26/run_20260721_161433
