model,provider,algorithm,task,paradigm,stage,k_disclosed,n_shot,n_test,key_seed,data_seed,accuracy,parse_error,key_cell_accuracy,undisclosed_cell_accuracy,key_exact_match,heldout_accuracy,git_commit,finished_at,path,format
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/narrowptr_k10_m1/run_20260902_101812,lora,narrowptr_k10_m1,predict,pure,2,0,0,500,2,0,0.134,0,,,,,0d6f92d,2026-09-02T12:24:48,results/llm_eval/narrowptr_k10_m1/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260902_101812,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/lookup_k4/run_20260716_125310,lora,lookup_k4,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-16T14:27:29,results/llm_eval/lookup_k4/predict_pure/n0_t50_stage2_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_lookup_k4_run_20260716_125310,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d2/run_20260816_214500,lora,pointer_chain_k10_d2,predict,pure,2,0,0,500,1,0,0.242,0,,,,,236c86b,2026-08-18T01:09:08,results/llm_eval/pointer_chain_k10_d2/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260816_214500,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d2/run_20260816_161732,lora,pointer_chain_k10_d2,predict,pure,2,0,0,500,0,0,0.384,0,,,,,236c86b,2026-08-18T00:56:55,results/llm_eval/pointer_chain_k10_d2/predict_pure/n0_t500_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260816_161732,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d2/run_20260817_013649,lora,pointer_chain_k10_d2,predict,pure,2,0,0,500,2,0,0.356,0,,,,,236c86b,2026-08-18T01:23:16,results/llm_eval/pointer_chain_k10_d2/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260817_013649,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/table_add_k10/run_20260716_173814,lora,table_add_k10,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-16T19:21:27,results/llm_eval/table_add_k10/predict_pure/n0_t50_stage2_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_table_add_k10_run_20260716_173814,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_k26/run_20260728_070545,lora,pointer_k26,predict,pure,2,0,0,50,0,0,0.18,0,,,,,5a5f94b,2026-07-28T16:15:36,results/llm_eval/pointer_k26/predict_pure/n0_t50_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260728_070545,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_k26/run_20260728_051352,lora,pointer_k26,predict,pure,2,0,0,50,0,0,0.14,0,,,,,5a5f94b,2026-07-28T07:05:43,results/llm_eval/pointer_k26/predict_pure/n0_t50_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260728_051352,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/narrowptr_k10_m3/run_20260902_060434,lora,narrowptr_k10_m3,predict,pure,2,0,0,500,1,0,0.09,0,,,,,0d6f92d,2026-09-02T08:12:25,results/llm_eval/narrowptr_k10_m3/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260902_060434,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/narrowptr_k10_m3/run_20260902_143124,lora,narrowptr_k10_m3,predict,pure,2,0,0,500,2,0,0.198,0,,,,,0d6f92d,2026-09-02T16:41:29,results/llm_eval/narrowptr_k10_m3/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260902_143124,v2
results/finetuned_models/qwen2.5_3b/secret_add/run_20260716_121139,lora,secret_add,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-16T12:32:14,results/llm_eval/secret_add/predict_pure/n0_t50_stage2_k0/ks0_ds0/results_finetuned_models_qwen2.5_3b_secret_add_run_20260716_121139,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/secret_add/run_20260717_011729,lora,secret_add,predict,pure,0,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-17T02:27:47,results/llm_eval/secret_add/predict_pure/n0_t50_stage0_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_secret_add_run_20260717_011729,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/lookup_k26/run_20260716_160156,lora,lookup_k26,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-16T17:38:12,results/llm_eval/lookup_k26/predict_pure/n0_t50_stage2_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_lookup_k26_run_20260716_160156,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/narrowptr_k10_m2/run_20260902_035831,lora,narrowptr_k10_m2,predict,pure,2,0,0,500,1,0,0.096,0,,,,,0d6f92d,2026-09-02T06:04:32,results/llm_eval/narrowptr_k10_m2/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260902_035831,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/narrowptr_k10_m2/run_20260918_025516,lora,narrowptr_k10_m2,predict,pure,2,0,0,500,0,0,0.092,0,,,,,bafd5d7,2026-09-18T10:30:44,results/llm_eval/narrowptr_k10_m2/predict_pure/n0_t500_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260918_025516,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/narrowptr_k10_m2/run_20260902_122450,lora,narrowptr_k10_m2,predict,pure,2,0,0,500,2,0,0.174,0,,,,,0d6f92d,2026-09-02T14:31:23,results/llm_eval/narrowptr_k10_m2/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260902_122450,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/recptr_k10/run_20260823_070158,lora,recptr_k10,predict,pure,2,0,0,500,1,0,0.104,0,,,,,584cb09,2026-08-23T09:22:58,results/llm_eval/recptr_k10/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260823_070158,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/recptr_k10/run_20260823_113251,lora,recptr_k10,predict,pure,2,0,0,500,2,0,0.2,0,,,,,584cb09,2026-08-23T13:50:16,results/llm_eval/recptr_k10/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260823_113251,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/table_add_k16/run_20260717_150129,lora,table_add_k16,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-17T16:42:26,results/llm_eval/table_add_k16/predict_pure/n0_t50_stage2_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_table_add_k16_run_20260717_150129,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_k10/run_20260728_033104,lora,pointer_k10,predict,pure,2,0,0,50,0,0,0.34,0,,,,,5a5f94b,2026-07-28T05:13:50,results/llm_eval/pointer_k10/predict_pure/n0_t50_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260728_033104,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260910_033625,lora,table_add3_k10,predict,pure,2,0,0,500,6,0,0.102,0,,,,,eec081d,2026-09-10T05:30:25,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks6_ds0/qwen2.5_3b_ft_20260910_033625,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260913_032850,lora,table_add3_k10,predict,pure,2,0,0,500,6,0,1.0,0,,,,,c480baa,2026-09-13T10:24:41,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks6_ds0/qwen2.5_3b_ft_20260913_032850,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260912_190607,lora,table_add3_k10,predict,pure,2,0,0,500,3,1,0.99,0,,,,,6d82954,2026-09-12T21:00:03,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks3_ds1/qwen2.5_3b_ft_20260912_190607,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260912_171242,lora,table_add3_k10,predict,pure,2,0,0,500,3,1,1.0,0,,,,,6d82954,2026-09-12T19:06:05,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks3_ds1/qwen2.5_3b_ft_20260912_171242,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260909_215428,lora,table_add3_k10,predict,pure,2,0,0,500,3,0,0.998,0,,,,,eec081d,2026-09-09T23:48:48,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks3_ds0/qwen2.5_3b_ft_20260909_215428,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260905_231205,lora,table_add3_k10,predict,pure,2,0,0,500,1,0,0.106,0,,,,,a4eb217,2026-09-06T01:09:04,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260905_231205,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260910_053027,lora,table_add3_k10,predict,pure,2,0,0,500,7,0,0.336,0,,,,,eec081d,2026-09-10T07:26:53,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks7_ds0/qwen2.5_3b_ft_20260910_053027,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260909_234850,lora,table_add3_k10,predict,pure,2,0,0,500,4,0,0.968,0,,,,,eec081d,2026-09-10T01:44:02,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks4_ds0/qwen2.5_3b_ft_20260909_234850,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260912_210005,lora,table_add3_k10,predict,pure,2,0,0,500,6,1,1.0,0,,,,,6d82954,2026-09-12T22:55:23,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks6_ds1/qwen2.5_3b_ft_20260912_210005,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260910_092238,lora,table_add3_k10,predict,pure,2,0,0,500,9,0,0.116,0,,,,,eec081d,2026-09-10T11:16:47,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks9_ds0/qwen2.5_3b_ft_20260910_092238,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260913_004808,lora,table_add3_k10,predict,pure,2,0,0,500,6,2,0.962,0,,,,,1c5e722,2026-09-13T02:45:03,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks6_ds2/qwen2.5_3b_ft_20260913_004808,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260910_014404,lora,table_add3_k10,predict,pure,2,0,0,500,5,0,0.174,0,,,,,eec081d,2026-09-10T03:36:23,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks5_ds0/qwen2.5_3b_ft_20260910_014404,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260912_225525,lora,table_add3_k10,predict,pure,2,0,0,500,3,2,0.982,0,,,,,6d82954,2026-09-13T00:48:06,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks3_ds2/qwen2.5_3b_ft_20260912_225525,v2
results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260729_023201,lora,table_add3_k10,predict,pure,2,0,0,500,0,0,0.996,0,,,,,a4eb217,2026-09-05T23:12:03,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260729_023201,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260910_072655,lora,table_add3_k10,predict,pure,2,0,0,500,8,0,0.106,0,,,,,eec081d,2026-09-10T09:22:36,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks8_ds0/qwen2.5_3b_ft_20260910_072655,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k10/run_20260906_010906,lora,table_add3_k10,predict,pure,2,0,0,500,2,0,0.262,0,,,,,a4eb217,2026-09-06T03:06:39,results/llm_eval/table_add3_k10/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260906_010906,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k26/run_20260729_055650,lora,table_add3_k26,predict,pure,2,0,0,50,0,0,0.14,0,,,,,c159838,2026-07-29T14:25:04,results/llm_eval/table_add3_k26/predict_pure/n0_t50_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260729_055650,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add3_k26/run_20260729_041333,lora,table_add3_k26,predict,pure,2,0,0,50,0,0,0.12,0,,,,,c159838,2026-07-29T05:56:48,results/llm_eval/table_add3_k26/predict_pure/n0_t50_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260729_041333,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d3/run_20260817_095544,lora,pointer_chain_k10_d3,predict,pure,2,0,0,500,1,0,0.316,0,,,,,236c86b,2026-08-18T01:38:56,results/llm_eval/pointer_chain_k10_d3/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260817_095544,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d3/run_20260817_120042,lora,pointer_chain_k10_d3,predict,pure,2,0,0,500,2,0,0.44,0,,,,,236c86b,2026-08-18T01:54:52,results/llm_eval/pointer_chain_k10_d3/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260817_120042,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/dualptr_k10/run_20260823_045542,lora,dualptr_k10,predict,pure,2,0,0,500,1,0,0.144,0,,,,,584cb09,2026-08-23T07:01:56,results/llm_eval/dualptr_k10/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260823_045542,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/dualptr_k10/run_20260823_092300,lora,dualptr_k10,predict,pure,2,0,0,500,2,0,0.138,0,,,,,584cb09,2026-08-23T11:32:49,results/llm_eval/dualptr_k10/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260823_092300,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d1/run_20260816_195925,lora,pointer_chain_k10_d1,predict,pure,2,0,0,500,1,0,0.248,0,,,,,236c86b,2026-08-18T00:26:09,results/llm_eval/pointer_chain_k10_d1/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260816_195925,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d1/run_20260816_143142,lora,pointer_chain_k10_d1,predict,pure,2,0,0,500,0,0,0.304,0,,,,,236c86b,2026-08-18T00:11:09,results/llm_eval/pointer_chain_k10_d1/predict_pure/n0_t500_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260816_143142,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d1/run_20260816_235035,lora,pointer_chain_k10_d1,predict,pure,2,0,0,500,2,0,0.358,0,,,,,236c86b,2026-08-18T00:40:48,results/llm_eval/pointer_chain_k10_d1/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260816_235035,v2
results/llm_finetune/qwen2.5_3b/func_22/run_20260718_024256,lora,func_22,predict,pure,2,0,0,200,0,0,0.08,0,,,,,c905ff7,2026-07-18T14:04:43,results/llm_eval/func_22/predict_pure/n0_t200_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260718_024256,v2
results/llm_finetune/qwen2.5_3b/func_22/run_20260716_210311,lora,func_22,predict,pure,2,0,0,200,0,0,0.065,0,,,,,c905ff7,2026-07-18T14:01:00,results/llm_eval/func_22/predict_pure/n0_t200_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260716_210311,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/func_22/run_20260717_000604,lora,func_22,predict,pure,0,0,0,50,0,0,0.12,0,,,,,706d2e6,2026-07-17T01:17:27,results/llm_eval/func_22/predict_pure/n0_t50_stage0_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_func_22_run_20260717_000604,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/table_add_k13/run_20260717_132044,lora,table_add_k13,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-17T15:01:27,results/llm_eval/table_add_k13/predict_pure/n0_t50_stage2_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_table_add_k13_run_20260717_132044,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/narrowptr_k10_m5/run_20260902_081227,lora,narrowptr_k10_m5,predict,pure,2,0,0,500,1,0,0.098,0,,,,,0d6f92d,2026-09-02T10:18:10,results/llm_eval/narrowptr_k10_m5/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260902_081227,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/narrowptr_k10_m5/run_20260902_164130,lora,narrowptr_k10_m5,predict,pure,2,0,0,500,2,0,0.136,0,,,,,0d6f92d,2026-09-02T18:46:00,results/llm_eval/narrowptr_k10_m5/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260902_164130,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/simple_add/run_20260716_225546,lora,simple_add,predict,pure,0,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-17T00:06:02,results/llm_eval/simple_add/predict_pure/n0_t50_stage0_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_simple_add_run_20260716_225546,v2
results/finetuned_models/qwen2.5_3b/simple_add/run_20260716_120102,lora,simple_add,predict,pure,0,0,0,20,0,1000000,1.0,0,,,,,706d2e6,2026-07-16T12:10:59,results/llm_eval/simple_add/predict_pure/n0_t20_stage0_k0/ks0_ds1000000/results_finetuned_models_qwen2.5_3b_simple_add_run_20260716_120102,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/lookup_k10/run_20260716_142731,lora,lookup_k10,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-16T16:01:54,results/llm_eval/lookup_k10/predict_pure/n0_t50_stage2_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_lookup_k10_run_20260716_142731,v2
qwen2.5:7b,ollama,func_pow,predict,rationale_pot,1,5,10,5,42,42,1.0,0,,,,,,,results/llm_eval/_legacy_format/qwen2.5_7b/stage1_pot/func_pow/run_20260626_182913,legacy
